Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
JAC,Jewish Advisory Council,Board/Commission,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,"Members of the newly formed council will focus on all issues affecting Jewish New Yorkers, including public safety, quality of life, and education, and will ensure Jewish communities across New York City are connected with all of the city’s resources and services available. Chaired by Joel Eisdorfer, senior advisor to Mayor Adams, the council will be comprised of 37 members and will convene regularly to discuss issues affecting the city’s Jewish community.",,Mayor Press Release ,,,MC,,Mayor Press Release ,"""Single Agency Head (commissioner, exec director, administrator)""","The council includes Jewish leaders from all five boroughs and across sectors, including not-for-profit organizations, community-based organizations, and religious leaders.",No,Yes,https://www.nyc.gov/office-of-the-mayor/news/457-23/mayor-adams-creation-new-york-city-s-first-jewish-advisory-council,,,,,
JAMAICAARTS,CIG - Jamaica Center for Arts and Learning,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.jcal.org/board,MC,,,Multi-member Commission,Jamaica Center for Arts and Learning is governed by a Board of Directors.,No,No,They were incorporated as a CIG in 1978.,,,,,
JAZZLINCOLNCTR,CIG - Jazz at Lincoln Center,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,Not Available,,https://www.jazz.org/about/,MC,,,"""Single Agency Head (commissioner, exec director, administrator)""",Jazz at Lincoln Center is lead by a Jazz at Lincoln Center,No,No,"This organization is part of a larger CIG. Have not been able to find its legal source. The press release below showcases the history of its founding. 

Press Release: https://www1.nyc.gov/html/om/html/98a/pr055-98.html ",,,,,
JBRPC,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",Board/Commission,,,,,,DM Operations,Meera Joshi,A board to control and manage the property and affairs of the JBRPC Corporation,,JBRPC’s By-Laws,,http://www.jbrpc.org/,MC,,"Cooperative Management Agreement August 12, 2013",Multi-member Commission,,No,No,,,JBRPC Bylaws Dec 2014.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/bd-EEuualvcQTjGliujC7A/HOuLGbOgv6J7f_Qo4cx5UohDEq-o1NsQA1yrq9zScsNvfzp0H4vNEtSEhMcLUxqRQrv7dpvKiF-scg0e9ed1ZLrCnYJ1zyjXj4laxQ2XwwaJNJivocgwvzxA6Nivj_b5LyywcJdkuO1u3wt3IF8IuXHt08IA2NPny9kVolEP2Rw/CKpjJb9bQFmmMDjcrRtoplCZaOZcX5XPQi2lMj4CMrk),,,
JBTF,Jamaica Bay Task Force,Board/Commission,,,,,,DM Operations,Meera Joshi,"The Jamaica Bay Task Force shall provide advice & recommendations in a biannual report to the city with respect to the Jamaica bay clean-up and resiliency project.  Such report shall be transmitted to the mayor, the speaker of the city council, the Jamaica Bay Science and Resilience Institute and other relevant entities in a form and manner to be determined by such task force.",,Local Law No. 179 of 2018,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-45266,,MC,,Ad Code § 24-527.1,Multi-member Commission,"The task force shall be comprised of eleven members, five of whom will be appointed by the speaker of the council and six members by the mayor.",Yes,Yes,,,Local Law 179 of 2018.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/zsLCKLF9qMOoX4F1x7rZDQ/MvJxwAt5eQ1s7jfVh_lXugggOVFgp7f-jfkixkkuEOJUasVofCDW1Y_MGh_UNMkLroZZ-ji5EnGdns_n6zkprp7npERoVcRdsjOsCxJWsLkRP4-I-WRB5eGKQEzI3B8P2lQVzO8V5sM-CFRnh3Jt4rpwkLHhaOX8vBybRK56V1g/f3vyFk_2FGHnlXaFx-VXsm_tqTm5FDKM_y7D26z0pQ4),,,
JEWISHMUSEUM,CIG - Museum of Jewish Heritage,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://mjhnyc.org/leadership/,MC,,,"""Single Agency Head (commissioner, exec director, administrator)""","The museum is led by a President & CEO, and has a board of trustees ",No,No,"This institution is a CIG and was incorporated in June of 1997. Have not found its certificate of incorporation. The press release below documents the incorporation of the museum. 

Press Release: https://www.nyc.gov/html/om/html/97/sp328-97.html ",,,,,
JJAB,Juvenile Justice Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,"The advisory board will advise and provide recommendations to the Mayor, the City Council, and ACS on issues related to juvenile justice, including, but not limited to:
1. Risk factors associated with criminal behavior among youth and interventions to prevent such behavior;
2. The availability of community-based services directed at youth, including justice-involved youth, and their families that effectively prevent youth involvement in criminal behavior and aid in the re-entry and transition from juvenile detention or another court-ordered placement facility to the community. Such services include educational and mental health services, including services that address trauma, family support, and vocation;
3. The availability and efficacy of academic and vocational programming for youth in detention or another court-ordered placement in connection with a juvenile delinquency proceeding;
4. Challenges faced by youth upon discharge from detention or another court-ordered placement in connection with a juvenile delinquency proceeding; and
5. The particular challenges faced by justice-involved youth in foster care.
",,Admin Code § 21-922,,,,,Admin Code § 21-922,,"20 total members:
•	The Speaker of the Council or their designee;
•	The commissioner of ACS or their designee;
•	The commissioner of the Department of Probation or their designee;
•	The commissioner of DYCD or their designee;
•	The Chancellor of the Department of Education or their designee;
•	The Director of the Mayor’s Office of Criminal Justice or their designee;
•	The commissioner of DOHMH or their designee; and
•	13 public members, including:
o	The following mayoral appointees:
	1 attorney who specializes in defending youth in family court;
	1 attorney who specializes in defending youth in New York state supreme court;
	1 individual representing an organization that advocates for improvements in education;
	1 mental health professional who specializes in the provision of pediatric mental health services;
	1 individual who specializes in issues of housing adolescents; and
	2 individuals who provide community-based youth development services, 1 of whom focuses on justice-involved youth; and
o	6 individuals, or family members of individuals, who were incarcerated, detained, or placed in a juvenile justice facility before their nineteenth birthday, 1 of each to be appointed by the borough presidents and the public advocate.
",No,Yes,,,,,,
LATINMEDIA,Latin Media & Entertainment Commission,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"To establish and maintain New York City as the preeminent municipality for the creation and dissemination of Latin cultural content in the arts, music and entertainment spaces.  LMEC will leverage partnerships with media and entertainment industry, executives, professional associations and government to attract and retain major Latin media events in New York City; cultivate the next generation of New York City-based Latin media and entertainment professionals; promote enhanced Spanish language content on mainstream and emerging media platforms and expand the audience for premier Latin cultural content in New York City.",,"Executive Order No. 43, as amended by Executive Order No. 44 (Bloomberg 11/17/2003)",http://www.nyc.gov/html/om/pdf/eo/eo_44.pdf,,MC,,EO 44 2003,"""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,"Latin Media Executive Order 43.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/ZMrbWsyfI64qeSCNegQSjg/atfeP5vgYCQ5lmwpWn1JK5MzGGcF854ervJt9X5GlAuz1WVUPmWrSiq6NIh2vFQUp8tdhQtClv8zRGHRBgQre7PVU-XUvFrvfcmg_CHo5BodyTiLCj4WCdKjQtdYt26Hx2eYbZ81M5hZNJE3RjWsixNMUhZhfxMCatuaAtvNTug/p85s8EBy3AnzWYo1i8h_ZorFzqmM03nI5mIY-2wWBVw),Latin Media Amendment to EO 43 Executive Order 44.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/eDYZQ7hZXEqmu7L9Ipe08g/M5X62kmOL_QI7GJcN1CpM7_mpOzjxg_N9-w4CdPqulOrs4AE5mRo3VdydGlWIeSq8G60Z-4m-L5dNqtkdIB6f59tJKIDv9umyVR3KceyWJEBcgOjqhGhrpc5kT5g9QbPOJSUNnZLtXTTd2rjenUzPITBY_R2iw_nvuZaHE0ob7zxBi5bp5kA3oSbFxHvo-Ed/Y4rOp8cd0xpkPfFzF6tWu9I-v-aF6I5zfveCWvvAO08)",,,,
LCRC,Local Conditional Release Commission,Board/Commission,,,,,,DM Public Safety,Chauncey Parker,"Such commission shall have the powers, duties, and composition as set forth in article 12 of the correction law or any successor statute. They hold the power and duty of determining which persons sentenced within the city of New York may be released on conditional release and under what conditions.",,NYC Local Law 60 of 2021,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-124140,https://www1.nyc.gov/site/probation/about/local-conditional-release-commission.page,,,"Ad Code Title 9, Chapter 2 § 9-207",Multi-member Commission,,No,No,,,Local Law 60.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/QFZW7bXoyD5JuevKhZL6Dg/ZkmOUpHNndOwkbYbsqftJBQaaLEPL4ezdW0GXExoLAt0lcIhgkheSDuvoV7m6DSBlZbAzQvpiqw3d3TXL9Jww-30SdEqzs-T9pMJJBW2T4MSbZ2e_vZQSmPwdKwIS7iPQIpqmf8XIZlVpBq9qdqCrw/AkIiWXNEXSpgS8TGaJpcVtO-h3PVxZVifp96a1L_sKY),,,
LDC,Land Development Corporation,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,A not-for-profit corporation that is a local development corporation.,,NYC Land Development Corporation – Certificate of Incorporation and By-laws,https://www.nycldc.com/wp-content/uploads/2021/10/Tab-4-Authoritys-Enabling-Statute.pdf,https://www.nycldc.com/,MC,,Certificate of Incorporation of New York City Land Development Corporation,Multi-member Commission,,Yes,No,By Laws: https://www.nycldc.com/wp-content/uploads/2021/10/Tab-5-By-Laws.pdf ,,,,,
LINCOLNCENTER,CIG - Lincoln Center for the Performing Arts,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,http://www.aboutlincolncenter.org/about/board-of-directors,MC,,,"""Single Agency Head (commissioner, exec director, administrator)""","The Lincoln Center is led by a President & Chief Executive Officer, it has a senior leadership team, and a Board of Directors",No,No,This institution is a CIG. Have not found its certificate of incorporation. ,,,,,
LMDC,Lower Manhattan Development Corporation,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,The Lower Manhattan Development Corporation (LMDC) is a joint State-City corporation formed by the Governor and Mayor to oversee the rebuilding and revitalization of Lower Manhattan.  ,,LMDC By-Laws (May 2015),,http://www.renewnyc.com/overlay/AboutUs/ ,MC,,,Multi-member Commission,,Yes,No,"This corporation was created in the aftermath of September 11, 2001. Have not been able to find its certificate of incorporation. ",,By Laws-LMDC - Updated 2015.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/HXbpKCeLn8liyxaKnWqJyw/dy4IaL1ytOX2fY-SY0ColU5eNTxzVxkyTWHYW47_a-ois0iL3m9sHeiKIPHvklcM7dOkzrpnZs3OJjgJSq5TRURUhL3Hod26Ir51utORsxEeO-hMUhjnXIC1YfWEPO8UOxVrKZHIlKeUmpG3Jw83XdJNmVYCvVHpxvog6tF2UMA/aRMJqueGifeH2pubcjrcfm_YU4hPJCCp-nuo8x5tXPY),,,
LOFT,Loft Board,Board/Commission,,checked,,,,DM Operations,Meera Joshi,The Loft Board oversees the legislation and regulation of loft buildings which have been converted to residential use.,,"NYS Consolidated laws, Article 12 Section 271. ",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCrules/0-0-0-59441,https://www1.nyc.gov/site/loftboard/index.page,MC,,Rules Title 29 ,Multi-member Commission,,Yes,No,,"Loft Executive Order 2009.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/jZJq5DxupDZRWrZWq02M_g/YubEmhSlsm4gAtmex1TpB9AhXBAbs1jimv4_-phXMjy6pfzsd1Lt0QWL9OI1cJysAf2eT041vkM6oZ-_bic_JOF5rZr1lqkKeqRjrNCBwt7gFhOl7pNN4B0HIxeoj2-33ZNOBMbr0dPUC3mJIDegIF4OyEAWdB2q4WMxCfnWZbY/HOuuOmiODgJuFYh2J9tJdsat236BNFqD-eIdxi0EcM0),Loft Executive Order.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/0mR0ORBVkmDijo_wR1QcqA/SCoLkqlZzobDGe2AWci72tSoZXcrHzP_EPfOAuoKqZNekNbtP7-ZqaYCzuLr14qeajZdpW9EZqgePMR93YGalXd1xAwwO3ypKdFzVnrqTirYDWUV_mNeQtbbq1_UiIDaVpdSvRXT2JA8wawca-ZM5kmRebdb4bQGPcL_HiYbeH0/7i6qLMmdGviz9K_CNs0mMUhs3Lu_I0sQ_f11UmU4dT8),Chapter 68 of the New York City Charter - COIB reqs for public servants.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/sR8ZKJtOxRF4LxhzCWMmBw/_pY4oxvRPkO1KX21pexgv8P8Gtjp_t9mk0iTJGbd12KKz9jlYmdwOn64sypyy_xfjzMZkxCtGMrc6q6aheSKQugX0QjwsxDQo1mdedl5xoTfYx1Wucf_BQuEi0RjWh098xYABj173sBgEbiMXLt0MT82SkczUl3ScX2eH9v3OI2HgOzw9ZaE5l0tsZ1vVJNdOnzMEkZFRpz2nQIhPxMKHQ/WBbRf4YFQ9qb4WbvLSVpJ3RMyAZWiVBKxNbEwBSa9XQ)",,,,
MACJ,Mayor's Advisory Committee on the Judiciary,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"Submits recommendations to the Mayor for judicial appointments to Criminal Court, Family Court, and for interim appointments to Civil Court",,"Executive Order No. 4 – May 29, 2014",https://www1.nyc.gov/assets/records/pdf/executive_orders/2002EO008.pdf,https://www1.nyc.gov/site/macj/index.page,Nom,,EO 8 2002,Multi-member Commission,,Yes,Yes,,,"EO 4 of 2014.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/avc0XpANOX29mL-Tp60gZA/zb0ce1S1zzhvfIcgehdGjXxP5jTTcjYwjjxAXMQBcLGsBvO2e6_bq7w0PaEdFtZ1zsxlOEhFdBZ3MMA4Z4V_CRyhk1kXYuQbU__Y5EYgiqZEJaFVhf9sh7dniqYRgpXHd_V_a66mwCiUBtmh8avgZA/svlE2PstWCCFfxUVlnF59nBrM2C5WLeSMag3ch63l0M),Executive Order No_ 4.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/vtbLTHLNb4EsRSDXPKccNg/0yqgn9toE_NoQF2RLewJl6swra0qc1FcrfxwfiBCGZarkTIi2j7lyscI6h822oAZ66LK8GSaUk_B4dyLB_2smHrdCpjxNHWIZqqGQvrqD-NhT_KVG9ybq6i1b9KS7EMFlxnhOZWOPgB5okORAtIAhhZX7TwofFe3QZIEUHjQ7tc/f2EAfQXAav0kOTZqaZPZC5t31KBsNf0b8tPzEBzVROA)",,,
MAYORSFUNDADV,Mayor's Fund Board of Advisors,Board/Commission,,,,,,DM Strategic Initiatives,Ana Almanzar,"The Mayor's Fund to Advance New York City is a 501(c) (3) nonprofit organization that serves as the primary vehicle for New York City's business, foundational and philanthropic communities to engage city government, contribute to public programs and enhance our city's ability to serve its residents.Chaired by First Lady Chirlane McCray, the Mayor's Fund's current areas of focus include mental health, youth workforce development, and immigration and citizenship.",,"NYS law, Section 1601 of the New York City Civil ",,https://www1.nyc.gov/site/fund/about/board-of-advisors.page,MC,,Certificate of Incorporation of the Mayor's Fund to Advance New York,Multi-member Commission,,Yes,Yes,"Certificate of Incorporation: https://www1.nyc.gov/assets/fund/downloads/pdf/coi-amendment-199610.pdf 
By Laws: https://www1.nyc.gov/assets/fund/downloads/pdf/by-laws-amended-2021.pdf",,Board BY LAWS as Amended 3-11-10.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/3LnXOKl6HIicbckZ8Bm9JA/tUtrKtHxq7QUP03cOMZFaQ_dLIKnVXqH7R0Gim95-YrAZAJa4On0JDsqviTDovbJfjNZ6MZ8NtUT2FUQVnTgBEjod9rcuLeOmvO7OElUU3Ol9H3LUmrVuAAKznrwGR-9A_sszo6TRQvQE4kAlDM-pamVzcFZI-1vxioOJCyiNW8/zIcFIK1TA1uKGl4qeNSsgZJ8rbOxwYvbOD15DJLO6vM),,,
MAYORSFUNDBOARD,Mayor's Fund Board of Directors,Board/Commission,,,,,,DM Strategic Initiatives,Ana Almanzar,"The Board of Directors is comprised of New York City employees who are responsible for the general management of the affairs and property of the Mayor’s Fund to Advance New York City. In addition, the Board of Directors has the power to employ personnel, authorize expenditures, and take all necessary and proper steps to carry out the purposes of the Mayor’s Fund and to promote its best interests.",,Court Ac,,https://www1.nyc.gov/site/fund/about/board-of-directors.page,MC,,Certificate of Incorporation of the Mayor's Fund to Advance New York,Multi-member Commission,,Yes,No,"Certificate of Incorporation: https://www1.nyc.gov/assets/fund/downloads/pdf/coi-amendment-199610.pdf 
By Laws: https://www1.nyc.gov/assets/fund/downloads/pdf/by-laws-amended-2021.pdf",,,,,
MCCM,Mayor's Committee on City Marshals,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"The Committee's four functions are to (1) establish and publish qualifying criteria for appointment to the office of City marshal, 
(2) recruit and receive names of candidates for that office, (3) determine which of the qualified candidates are best qualified to 
serve as City marshals, and (4) recommend to the Mayor up to three qualified persons for appointment to the office of City 
marshal upon the occurrence of a vacancy. Mayoral Executive Order No. 44, February 13, 1980. By law, the Committee's 
proceedings, records, and communications, including all applications submitted to it, are confidential and exempt from public
disclosure.",,"Mayoral Executive Order No. 44, Feb. 13, 1980;  NYS law, Section 1601 of the New York City Civil  Court Act",https://www1.nyc.gov/assets/marshals/downloads/pdf/executive_order_44.pdf,https://www1.nyc.gov/site/marshals/index.page,,,EO 44 1980,Multi-member Commission,"The committee is made up of 15 members all appointed by the mayor. The Mayor appoints six of the members directly, three after selection by Presiding Justice of the Appellate Division, three after selection by the Presiding Justice of the Second Judicial Department, and three after selection by the deans of three New York City Law Schools, who each select one member for appointment. ",Yes,No,,,NYS law section 1601 of NYC Civil Court Act.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/Q9Q4RluwjF9cQouYitBfog/ZJGjkFELpOvwymiPABWw8PhvMyH69LBu7PcUsBXrOrtk3caZCn5dvn8yol0cnvO5m2Py5EIu7NuJb13dzDfaFc24GDb_XAubl9NdeS2LUEqBsg-DyO4tpnKx3_b9F6K07O5UBwYAg0m5O89QYBqNrBs98g0Qjz-UdEMt2tW2PBvzYDsfA0NdLre2AaNBGZDk/D0-XTH6Ys3N4XRTOuspOShUMmt0Yavxr9wsl5a0QX74),,,
MDCTF,Multiple Dwellings Construction Task Force,Board/Commission,,,,,,DM Operations,Meera Joshi,Interagency task force to explore issues related to construction work in occupied multiple dwellings.,,Local Law 151 of 217,https://www1.nyc.gov/assets/buildings/local_laws/ll151of2017.pdf,,MC,,LL 151 2017,Multi-member Commission,,No,No,,,Local Law 151 (2).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/wKcBEE0AvEGg-XhfbledAg/EjhyHPtCro-L48pvTpgHstiaixJ1H-AIUXRkl8kyPTOuh4STGoAnsMgqHYOa-cOetO2CyzyRkbxy-aAxfV2m-BBSArXxQC32P2oACDf__x8uMn9-PLTOIhEF_J4_IOSSzNROm_Fqj8d0_KqN05-ifw/raExObdptOuo6hf6TXh42l-lTPkvNFvcE_kTK6U0ZiM),,,
MEAB,Medical Equity Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,,,,,,,,,,,,,Is this the same thing as the Gender and racial equity advisory board?https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-131912 ,,,,,
MET,CIG - Metropolitan Museum of Art,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,https://babel.hathitrust.org/cgi/pt?id=nyp.33433090741947&view=1up&seq=505&skin=2021&q1=Metropolitan%20Museum%20of%20Art,https://www.metmuseum.org/,MC,,"Laws of New York 1870, Chapter 197",Multi-member Commission,,No,No,,,,,,
MOMA,CIG - Museum of Modern Art,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.moma.org/about/trustees#the-museum-of-modernart,MC,,,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,The MOMA a 501(c)(3) nonprofit organization. We have not been able to find its certificate of incorporation.,,,,,
MONUMENTS,"Task Force on Monuments, Statues, Public Art and Historical Markers",Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"There shall be a task force to examine the monuments, statues, public art and historical markers on city-owned property. The task force shall conduct a comprehensive review of monuments, statues, public art and historical markers on city-owned property, which have been identified by the chair as inconsistent with the values of diversity, equity and inclusion, or for which the chair is aware of substantial public opposition or concerns.",,Local Law 131 of 219,,,MC,,,,,,,Not able to find legal source or website establishing this taskforce.,,Local Law 131.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/zf82gEuu0Us9txg_leNsTw/ZNXn0974QkvyUN2Goy-QFA_v_VDU2-A-2_IyZoQl5rLeDGZwl1zuTeevF34RJhQUw3u_De7ueJohcp-7q2sp7XTd-0wetSBzZD67MEPTv89ZWzpRSCjOvm7rD2d6DCw6sZTRUymZOU9PVLbdY23CBg/SxXxpZl1LK1wMEpZGIdMN9CO_Hd1AuADwsro7K_091Y),,,
