Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Mayor's Office - Speechwriting,,,,,,,,,,Mayor's Office -- Speechwriting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,office of the mayor speechwriting,OPS_000078,Mayor's Office -- Speechwriting,Mayoral unit/office,ops,,,,,ops
Mayor's Press Office,"Press Office, Mayor's",,,,,,,,,Mayor's Press Office,,Active,Mayoral Office,,,Mayor's Office,Deputy Mayor for Communications,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,,,,,,,,,,mayors-press-office,2024-07-29,,,Mayor's Press Office,"Press Office, Mayor's",,,mayors press office,OPS_000075,Mayor's Press Office,Mayoral unit/office,ops,,,,,ops
Mayor's Public Engagement Unit,"Public Engagement Unit, Mayor's",Mayor's Public Engagement Unit,,,Mayor's Public Engagement Unit (PEU),,Mayor's Public Engagement Unit (PEU),Mayor's Public Engagement Unit (PEU),Public Engagement Unit (PEU),Mayor's Public Engagement Unit,Public Engagement Unit,Active,Mayoral Office,"The Mayor's Public Engagement Unit (PEU) proactively connects New Yorkers to key City services, like housing and healthcare.",https://www1.nyc.gov/site/mayorspeu/index.page,Office of Engagement,Office of Engagement,Mayoral Executive Order,"Executive Order 69, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/41687k80k?locale=en,"EXECUTIVE ORDER No. 69 June 21, 2021 MAYOR’S OFFICE OF PUBLIC ENGAGEMENT WHEREAS, the public may not be aware of the City services available to them, which may lead to underutilization of public services; and WHEREAS, the City of New York is committed to proactively educating New Yorkers about the p",,,PEU,,,Adrienne Lever,Director,,,2015.0,,mayors-public-engagement-unit,2024-07-29,,,Mayor's Public Engagement Unit (PEU),"Public Engagement Unit, Mayor's (PEU)",Adrienne,Lever,mayors public engagement unit,OPS_000074,Mayor's Public Engagement Unit,Mayoral unit/office,ops,Adrienne Lever,Executive Director ,https://www.nyc.gov/site/mayorspeu/about-peu/contact.page,"[{'id': 'HOO_000101', 'name': ""Mayor's Public Engagement Unit (PEU)"", 'score': None}]",ops
NYC Media,,,,,"Media, NYC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media new york city,REC_000144,,,,Karen Johnson ,Interim General Manager ,https://www.nyc.gov/site/media/about/contact-us.page,"[{'id': 'HOO_000123', 'name': 'Media, NYC', 'score': None}]",nyc_agencies_export
Medical Equity Advisory Board,,,,,,,,,,Medical Equity Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medical equity advisory board,OPS_000275,Medical Equity Advisory Board,Board/Commission,ops,,,,,ops
Metropolitan Transportation Authority Board of Directors,Metropolitan Transportation Authority,,,,,Metropolitan Transportation Authority (MTA),,,Metropolitan Transportation Authority (MTA),Metropolitan Transportation Authority Board of Directors,,Active,Authority or Public Benefit Corporation,,https://new.mta.info/,,,New York State Law,,,,,,MTA,,998.0,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Metropolitan+Transportation+Authority+%28MTA%29,,1965.0,,metropolitan-transportation-authority,2024-07-29,,,Metropolitan Transportation Authority (MTA),Metropolitan Transportation Authority (MTA),,,metropolitan transportation authority board of directors,OPS_000281,Metropolitan Transportation Authority Board of Directors,Board/Commission,ops,,,,"[""OPS_000281"", ""REC_000146""]",ops
Metropolitan Transportation Authority Capital Review Board ,,,,,,,,,,Metropolitan Transportation Authority Capital Review Board ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metropolitan transportation authority capital review board,OPS_000282,Metropolitan Transportation Authority Capital Review Board ,Board/Commission,ops,,,,,ops
Metropolitan Transportation Sustainability Advisory Workgroup,,,,,,,,,,Metropolitan Transportation Sustainability Advisory Workgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metropolitan transportation sustainability advisory workgroup,OPS_000283,Metropolitan Transportation Sustainability Advisory Workgroup,Board/Commission,ops,,,,,ops
MO of Utility Advocate,,,,,,,,,,MO of Utility Advocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mo of utility advocate,OPS_000081,MO of Utility Advocate,Mayoral unit/office,ops,,,,,ops
Moynihan Station Development Corporation,,,,,,,,,,Moynihan Station Development Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moynihan station development corporation,OPS_000280,Moynihan Station Development Corporation,Board/Commission,ops,,,,,ops
Multiple Dwellings Construction Task Force,,,,,,,,,,Multiple Dwellings Construction Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multiple dwellings construction task force,OPS_000274,Multiple Dwellings Construction Task Force,Board/Commission,ops,,,,,ops
Municipal Archives,"Archives, Municipal",,,,,,,,,,,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3004.1",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6582,"The department shall operate a municipal archives, the head of which shall be a professional archivist.",,,,,,,,,,1950.0,,municipal-archives,2024-07-29,,,Municipal Archives,"Archives, Municipal",,,municipal archives,REC_000147,,,,,,,,nyc_agencies_export
Municipal Credit Union,"Credit Union, Municipal",,,Municipal Credit Union,,,,,,,,Active,Financial Institution,,https://www.nymcu.org/,,,New York State,,,,,,,,,,,,,1916.0,,municipal-credit-union,2024-07-29,,,Municipal Credit Union,"Credit Union, Municipal",,,municipal credit union,REC_000148,,,,,,,,nyc_agencies_export
Municipal Division of Transitional Services,"Division of Transitional Services, Municipal",,,,,,,,,,,Active,Mayoral Office,,,Mayor's Office,Mayor's Office,New York City Charter,"Chapter 1, Section 13-c",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-96,"The mayor shall establish a municipal division of transitional services. Such division may, but need not, be established in the executive office of the mayor or as a separate division or within any other office of the mayor, or within any department the head of which is appointed by the mayor. Such division shall be headed by a coordinator who shall be appointed by the mayor or the head of such department. For the purposes of this section, ""coordinator"" shall mean the coordinator of the municipal division of transitional services.",,,,,,,,,,2016.0,,municipal-division-of-transitional-services,2024-07-29,,,Municipal Division of Transitional Services,"Division of Transitional Services, Municipal",,,municipal division of transitional services,REC_000149,,,,,,,,nyc_agencies_export
Municipal Records Management Division,"Records Management Division, Municipal",,,,,,,,,,,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3004.4",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6582,"The department shall operate a municipal records management division, the head of which shall be a professional records manager.",,,,,,,,,,1977.0,,municipal-records-management-division,2024-07-29,,,Municipal Records Management Division,"Records Management Division, Municipal",,,municipal records management division,REC_000150,,,,,,,,nyc_agencies_export
Municipal Reference and Research Center,"Reference and Research Center, Municipal",,,,,,,,,,,Active,Division,,,Department of Records and Information Systems,Department of Records and Information Systems,New York City Charter,"Chapter 72, Section 3004.2",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6582,"The department shall operate a municipal reference and research center, the head of which shall be a professional librarian.",,,,,,,,,,1969.0,,municipal-reference-and-research-center,2024-07-29,,,Municipal Reference and Research Center,"Reference and Research Center, Municipal",,,municipal reference and research center,REC_000151,,,,,,,,nyc_agencies_export
Municipal Services Assessment unit,"Municipal Services Assessment, Mayor's Office of",Mayor's Office of Municipal Services Assessment,,,,,,,,Municipal Services Assessment unit,,Active,Mayoral Office,,,Mayor's Office,Deputy Mayor for Public Safety,Mayoral Executive Order,"Executive Order 24, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9p290d44p?locale=en,Executive Order No. 24 Mayor's Office of Risk Management and Compliance and Mayor's Office of Municipal Services Assessment,,,,,,,,,,2023.0,,mayors-office-of-municipal-services-assessment,2024-07-29,,,Mayor's Office of Municipal Services Assessment,"Municipal Services Assessment, Mayor's Office of",,,municipal services assessment unit,OPS_000056,Municipal Services Assessment unit,Mayoral unit/office,ops,,,,"[""OPS_000056"", ""REC_000135""]",ops
Municipal Voting Advisory Group,,,,,,,,,,Municipal Voting Advisory Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,municipal voting advisory group,OPS_000288,Municipal Voting Advisory Group,Board/Commission,ops,,,,,ops
Municipal Water Finance Authority,"Municipal Water Finance Authority, NYC",,,"Water Finance Authority, NYC Municipal","Water Finance Authority, NYC Municipal (NYW)",,"Water Finance Authority, NYC Municipal (NYW)","Water Finance Authority, NYC Municipal (NYW)",,Municipal Water Finance Authority,NYC Municipal Water Finance Authority,Active,Authority or Public Benefit Corporation,"The New York City Municipal Water Finance Authority provides funding through the issuance of bonds, bond anticipation notes, and other obligations to finance capital projects related to supplying and purifying the City's high-quality drinking water and maintain safe wastewater collection and treatment.",http://www.nyc.gov/nyw,,,New York State Law,,,,,,NYW,,,David Womack,Chief Executive Officer,,,1984.0,,nyc-municipal-water-finance-authority,2024-07-29,,,NYC Municipal Water Finance Authority (NYW),"Municipal Water Finance Authority, NYC (NYW)",David,Womack,municipal water finance authority,OPS_000290,Municipal Water Finance Authority,Board/Commission,ops,David Womack,Chief Executive Officer ,https://www.nyc.gov/site/nyw/about/contact.page,"[""OPS_000290"", ""REC_000238""]",ops
MWBE Advisory Board,,,,,,,,,,MWBE Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mwbe advisory board,OPS_000289,MWBE Advisory Board,Board/Commission,ops,,,,,ops
NYC & Company,,,,,,,,,,NYC & Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new york city and company,OPS_000121,NYC & Company,Agency,ops,,,,,ops
NYC Care,NYC Care,,,,,,,,NYC Care,,,Active,Division,,https://www.nyccare.nyc/,NYC Health + Hospitals,NYC Health + Hospitals,?,,,,,,,,,,,,,2019.0,,nyc-care,2024-07-29,,,NYC Care,NYC Care,,,new york city care,REC_000153,,,,,,,,nyc_agencies_export
New York City Children's Cabinet ,Children's Cabinet,,,,NYC Children's Cabinet,,NYC Children's Cabinet,NYC Children's Cabinet,Children's Cabinet,New York City Children's Cabinet ,Children's Cabinet,Active,Mayoral Office,"The NYC Children’s Cabinet enables coordination and communication between government agencies and other partners that serve the City’s youth. Its mission is to help align City efforts and resources towards ensuring that all of New York City’s children can reach healthy, successful adulthood.",https://www1.nyc.gov/site/childrenscabinet/index.page,Mayor's Office,Deputy Mayor for Strategic Initiatives,Press Release,"January 28, 2016 Press Release",https://a860-gpp.nyc.gov/concern/nyc_government_publications/h702q854v?locale=en,"The de Blasio administration today announced the appointment of members to the newly created NYC Children’s Cabinet Advisory Board. The Board will allow City agencies that comprise the Cabinet to leverage the expertise, relationships and resources of non-government experts. Members of the Board include appointees from all five boroughs in academia, faith, media, business, technology, the non-profit sector and the judiciary.",,,,,,Megan Tackney,Executive Director,,,2014.0,,childrens-cabinet,2024-07-29,,,Children's Cabinet,Children's Cabinet,Megan,Tackney,new york city childrens cabinet,OPS_000088,New York City Children's Cabinet ,Agency,ops,Megan Tackney ,Executive Director ,https://www.nyc.gov/site/childrenscabinet/contact-us/contact-us.page,"[""OPS_000088"", ""REC_000028""]",ops
New York City Courts,"Courts, New York City",,,New York City Courts,,,,,,,,Active,Judiciary,,https://www.nycourts.gov/,,,New York State,,,,,,,,,,,,,1962.0,,new-york-city-courts,2024-07-29,,,New York City Courts,"Courts, New York City",,,new york city courts,REC_000155,,,,,,,,nyc_agencies_export
New York City Districting Commission,Districting Commission,,Districting Commission,,,,,,,New York City Districting Commission,,Active,"Advisory, Oversight, or Regulatory Body",,https://www.nyc.gov/site/districting/index.page,,Independent,New York City Charter,"Chapter 2-A, Section 50",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-434,There shall be a districting commission consisting of fifteen members appointed as provided in this section.,,,,,,,,,,,,districting-commission,2024-07-29,,,Districting Commission,Districting Commission,,,new york city districting commission,OPS_000214,New York City Districting Commission,Board/Commission,ops,,,,"[""OPS_000214"", ""REC_000064""]",ops
