Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
Fire Department,Fire Department,Active,Mayoral Agency,"As first responders to fires, public safety and medical emergencies, disasters and terrorist acts, FDNY protects the lives and property of New York City residents and visitors.",http://www.nyc.gov/fdny,Mayor's Office,Deputy Mayor for Public Safety,New York City Charter,"Chapter 19, Section 481",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1743,There shall be a fire department the head of which shall be the commissioner.,,,FDNY,,57.0,Laura Kavanaugh,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Fire+Department+of+New+York+City+%28FDNY%29,,1865.0,,fire-department,2024-07-29,,,"Fire Department, New York City (FDNY)","Fire Department, New York City (FDNY)",Fire Department of New York City (FDNY),New York City Fire Department (FDNY),Fire Department,Fire Department,Fire Department,Fire Department,Fire Department (FDNY),Fire Department (FDNY),Laura,Kavanaugh,fire department,REC_000083,REC_000063,Commissioner,https://www.nyc.gov/site/fdny/index.page,"Fire Department, New York City (FDNY)",REC_000112,Fire Department,ops
Fire Department Pension Fund and Related Funds,Fire Department Pension Fund and Related Funds,Active,Fiduciary Fund,,,,,New York State,,,,,,,,,,,,,1966.0,,fire-department-pension-fund-and-related-funds,2024-07-29,,,,,,,,,,,Fire Department Pension Fund and Related Funds,Fire Department Pension Fund and Related Funds,,,fire department pension fund and related funds,REC_000084,,,,,REC_000100,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flushing meadows corona park alliance,,,,,,REC_000229,Flushing Meadows Corona Park Alliance,ops
Office of Food Policy,"Food Policy, Office of",Active,Mayoral Office,,https://www.nyc.gov/site/foodpolicy/index.page,Mayor's Office,Deputy Mayor for Strategic Initiatives,New York City Charter,"Chapter 1, Section 20-i",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5512,The mayor shall establish an office of food policy. Such office may be established within the office of the mayor or any department or office the head of which is appointed by the mayor. Such office shall be headed by a director who shall be appointed by the mayor or by the head of such department or office.,,,MOFP,,,,,,,2007.0,,office-of-food-policy,2024-07-29,,,,,,,,,,,Office of Food Policy (MOFP),"Food Policy, Office of (MOFP)",,,food office policy,REC_000196,,,,,REC_000101,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food policy mayor,,REC_000064,Executive Director,https://www.nyc.gov/site/foodpolicy/index.page,"Food Policy, Mayor's Office of",REC_000102,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,food service establishment advisory board,,,,,,REC_000232,Food Service Establishment Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forest park trust,,,,,,REC_000230,Forest Park Trust,ops
Franchise and Concession Review Committee,Franchise and Concession Review Committee,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 14, Section 373",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1532,"A franchise and concession review committee is hereby established. The committee shall consist of the following officials or their designees: the mayor, who shall serve as chair; the director of the office of management and budget; the corporation counsel; the comptroller; and one additional appointee of the mayor. Whenever the committee reviews a proposed franchise or concession or the procedures for granting a particular concession, the borough president of the borough in which such franchise or concession is located or his or her designee shall also serve as a member of the committee. If such a franchise, concession or procedure relates to more than one borough, the borough presidents of such boroughs shall designate one of such borough presidents or another individual to serve as a member of the committee for the purpose of considering such matter.",,,,,,,,,,1989.0,,franchise-and-concession-review-committee,2024-07-29,,,,,,,,,,,Franchise and Concession Review Committee,Franchise and Concession Review Committee,,,franchise and concession review committee,REC_000086,,,,,REC_000103,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,franchise concession review committee,,,,,,REC_000225,Franchise and Concession Review Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fund public schools,,,,,,REC_000115,Fund for Public Schools,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,future workers task force,,,,,,REC_000233,Future Workers Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gender racial equity advisory board,,,,,,REC_000236,Gender and Racial Equity Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,get stuff built advisory board,,,,,,REC_000239,Get Stuff Built Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,governors island trust,,REC_000065,President and CEO,https://www.govisland.com/about/the-trust-for-governors-island,"Governors Island, Trust for",REC_000104,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gracie mansion conversancy advisory committee,,,,,,REC_000235,Gracie Mansion Conversancy Advisory Committee,ops
Grand Central Partnership,Grand Central Partnership,Active,Non-Governmental Organization,,https://www.grandcentralpartnership.nyc/,,,New York State Law,,,,,,,,,,,,,1985.0,,grand-central-partnership,2024-07-29,,,,,,Grand Central Partnership,,,,,Grand Central Partnership,Grand Central Partnership,,,grand central partnership,REC_000089,,,,,REC_000105,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green economy advisory council,,,,,,REC_000234,Green Economy Advisory Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,greenbelt conservancy,,,,,,REC_000237,Greenbelt Conservancy,ops
GreeNYC,GreeNYC,Reorganized,Division,Working to reduce New York City’s greenhouse gas emissions 30 percent by 2030.,http://www.nyc.gov/greenyc,,,,,,,,,GNYC,,,,Director,,,,,greenyc,2024-07-29,,,GreeNYC (GNYC),GreeNYC (GNYC),,,,,,,GreeNYC (GNYC),GreeNYC (GNYC),,,greenyc,REC_000090,REC_000066,Director (Position seems vacant),https://climate.cityofnewyork.us/,GreeNYC (GNYC),REC_000106,,nyc_gov
GrowNYC,GrowNYC,Active,Non-Governmental Organization,,https://www.grownyc.org/,,,New York State Law,,,,,,,,,,,,,1970.0,,grownyc,2024-07-29,,,,,,,,,GrowNYC,,GrowNYC,GrowNYC,,,grownyc,REC_000091,,,,,REC_000238,GrowNYC (previously Council on the Environment),ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,handschu committee,,,,,,REC_000240,Handschu Committee,ops
Hardship Appeals Panel,Hardship Appeals Panel,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 74, Section 3021",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6776,"There is hereby established the hardship appeals panel, independent of the commission, to consist of five members appointed by the mayor with the advice and consent of the council in the manner specified in section thirty-one of the charter.",,,,,,,,,,1989.0,,hardship-appeals-panel,2024-07-29,,,,,,,,,,,Hardship Appeals Panel,Hardship Appeals Panel,,,hardship appeals panel,REC_000092,,,,,REC_000107,,nyc_agencies_export
NYC Health + Hospitals,"Health + Hospitals, NYC",Active,Authority or Public Benefit Corporation,"A public health care network of hospitals, nursing homes, community health centers and a home care agency, focused on primary & preventive care for all New Yorkers regardless of ability to pay.",http://www.nyc.gov/hhc,,Deputy Mayor for Health and Human Services,New York State Law,,,,,,HH,,819.0,Dr. Mitchell Katz,President and CEO,,,1969.0,,nyc-health-hospitals,2024-07-29,,,NYC Health + Hospitals,NYC Health + Hospitals,,NYC Health + Hospitals (H+H),,Health and Hospitals Corporation,"Health + Hospitals NYC, (NYC H+H)",Health and Hospitals Corporation,NYC Health + Hospitals (HH),"Health + Hospitals, NYC (HH)",Mitchell,Katz,health + hospitals,REC_000174,,,,,REC_000108,,nyc_agencies_export
Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of",Active,Mayoral Agency,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,http://www.nyc.gov/health,Mayor's Office,Deputy Mayor for Health and Human Services,New York City Charter,"Chapter 22, Section 551",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2019,"There shall be a department of health and mental hygiene, the head of which shall be the commissioner of health and mental hygiene who shall be appointed by the mayor. The department shall have and exercise all powers of a local health department set forth in law. Notwithstanding any other provision of this charter to the contrary, the department shall be a social services district for purposes of the administration of health-related public assistance programs to the extent agreed upon by the department, the department of social services and the department of homeless services. Appropriations to the department for mental health, intellectual and developmental disability, and alcoholism services shall be set forth in the expense budget in separate and distinct units of appropriation. In determining the annual amount of city funds to be appropriated by the city for mental health, intellectual and developmental disability, and alcoholism services, the following provision shall apply: in the event that the executive budget proposes a decrease in city funds measured against the budget for the current fiscal year, as modified in accordance with section 107, for the units of appropriation for mental health, intellectual and developmental disability, and alcoholism services, the executive budget shall not propose a greater percentage decrease in city funds measured against the budget for the current fiscal year, as modified in accordance with section 107, for the units of appropriation for mental health, intellectual and developmental disability, and alcoholism services than has been proposed for the units of appropriation for public health services. If, however, in his or her discretion, the mayor determines that it is in the city's best interest to submit an executive budget at variance with the requirements of this provision, the mayor shall include an explanation of the basis for this variation as part of the budget message.",Department of Health and Mental Hygiene,NYC Health; Health Department,DOHMH,DOH,816.0,Dr. Ashwin Vasan,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Health+and+Mental+Hygiene+%28DOHMH%29,"The Department of Health and Mental Hygiene (DOHMH) in New York City is commonly referred to by several names, including the Department of Health and Mental Hygiene, NYC Health, and the NYC Health Department. These various names are used interchangeably in official documents, public communications, and branding to refer to the same entity responsible for public health, mental health services, and environmental health in New York City. Despite the different names, all references point to the single department tasked with promoting and protecting the health of all New Yorkers.",1870.0,,department-of-health-and-mental-hygiene,2024-07-29,,,"Health and Mental Hygiene, Department of (DOHMH)","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene,Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of",Department of Health and Mental Hygiene,Department of Health and Mental Hygiene (DOHMH),"Health and Mental Hygiene, Department of (DOHMH)",Ashwin,Vasan,health department and mental hygiene,REC_000054,,,,,REC_000109,,nyc_agencies_export
